Dni_Aseg_Anonymized;Asegurado_Id_Anonymized;Poliza_Certificado_Id_Anonymized;Numero_Poliza_Anonymized;Placa_Vehiculo_Anonymized;Edad_Cliente;segmento_edad;Sexo_Cd;Estado_Civil_Desc;Ciudad_Cliente;Departamento_Cliente;Sector_Economico_Cliente;Rango_Ingresos_Cliente;Antiguedad_Cliente_En_CanalDD_Anios;Num_Total_Polizas_Cliente_CanalDD;Fecha_Inicio_Primera_Vigencia;Fecha_Fin_Efectiva_Poliza;Vigencia_Total_Poliza_Meses;Subproducto_Desc;Forma_Pago_Desc;Valor_Accesorios_Certificado;Ultima_Prima_Anualizada_Cert;Clase_Vehiculo_Tarifa;Marca_Vehiculo_Calculada;Linea_Vehiculo_Calculada;Modelo_Vehiculo;Gama_Alta_Calculada;Valor_Comercial_Vehiculo;Valor_Accesorios_Vehiculo_Sia;Valor_Accesorio_Especial_Veh;Ciudad_Ubicacion_Vehiculo;Departamento_Ubicacion_Vehiculo;Tipo_Servicio_Vehiculo_Desc;Prima_Total_Devengada_Certificado;Siniestros_Total_Incurridos_Certificado;Margen_Tecnico_Total_Certificado;Num_Total_Asistencias_Certificado;Costo_Total_Asistencias_Certificado;Margen_Bruto_Total_Certificado;Cliente_Tiene_Soat_Activo;Cliente_Tiene_Hogar_Activo;Cliente_Tiene_MasVida_Activo;Cliente_Tiene_Salud_Activo;Cliente_Tiene_Vida_Activo;Nombre_Agente_Anonymized
41-DC-1F-7F;42-C2-0C-60;C5-3B-2C-54;28-D1-46-C3;53-8E-1F-F6;34;Adulto Joven;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,13;1;22/03/2024;22/03/2026;24;PLAN MOTOS;Semestral;0;665.855,00;MOTO 0- 125 CC;AKT;AK;2.025;NO;4.800.000,00;0;0;BARRANCABERMEJA;SANTANDER;Particular;671.042,00;0;671.042,00;0;0;671.042,00;0;0;0;0;0;1D-A0-23-D2
CE-B2-8C-D9;9E-1E-8B-64;2C-E2-13-4B;CF-E5-47-10;42-2A-BE-1C;42;Adulto Joven;F;Sin Informacion;BELLO;ANTIOQUIA;Sin Información;Sin Informacion;1,95;1;27/05/2023;27/12/2023;7;PLAN AUTO CLASICO;Mensual;0;3.257.397,00;AUTOMOVILES;MAZDA;3;2.007;NO;26.500.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;1.604.882,01;0;1.604.882,01;0;0;1.604.882,01;0;0;0;0;0;1D-A0-23-D2
76-E5-2D-78;8D-5D-B1-A7;C3-1B-92-EF;D3-AA-35-06;FD-FB-AE-F0;31;Joven;F;Sin Informacion;CARTAGENA;BOLIVAR;Sin Información;Sin Informacion;0,6;1;30/09/2024;30/09/2024;0;PLAN AUTO GLOBAL;Anual;0;5.270.142,00;CAMPEROS Y PICK-UP;MAZDA;CX30;2.024;NO;112.600.000,00;0;0;CARTAGENA;BOLIVAR;Particular;0,92;0;0,92;0;0;0,92;0;0;0;0;1;1D-A0-23-D2
68-0D-66-1F;74-27-1F-A4;E0-D3-E4-99;5D-B8-B5-35;87-74-B9-A2;29;Joven;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;0,37;1;24/12/2024;24/12/2025;12;PLAN AUTO GLOBAL;Anual;1.230.000,00;6.635.821,00;AUTOMOVILES;VOLKSWAGEN;GOLF;2.016;NO;79.700.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;2.416.678,95;0;2.416.678,95;2;121.761,00;2.294.917,95;0;0;0;0;1;1D-A0-23-D2
33-94-03-D4;0D-AD-0E-24;09-4F-3E-D0;67-09-75-25;24-36-6C-90;38;Adulto Joven;M;Sin Informacion;RIOHACHA;GUAJIRA;Sin Información;Sin Informacion;1,62;1;26/09/2023;26/09/2023;0;PLAN AUTO CLASICO;Mensual;170.000,00;5.602.352,00;AUTOMOVILES;TOYOTA;COROLLA;2.013;NO;57.200.000,00;170.000,00;0;RIOHACHA;GUAJIRA;Particular;0;0;0;0;0;0;0;0;0;0;1;1D-A0-23-D2
D0-09-31-02;AB-73-00-D7;74-48-88-CB;CE-7E-79-1C;4D-D1-29-2F;33;Adulto Joven;M;Sin Informacion;CARTAGENA;BOLIVAR;SERVICIOS SOCIALES Y DE SALUD;3'000.001 - 5'000.000;1,92;1;7/06/2023;7/06/2023;0;PLAN AUTO GLOBAL;Mensual;0;3.564.937,00;AUTOMOVILES;CHEVROLET;SPARK GT;2.018;NO;38.900.000,00;0;0;CARTAGENA;BOLIVAR;Particular;2,91;0;2,91;0;0;2,91;0;0;0;0;0;1D-A0-23-D2
31-DF-1F-70;3B-CA-D4-4B;D4-35-45-0C;62-6B-3B-5E;A2-8E-42-BF;38;Adulto Joven;F;Sin Informacion;CARTAGENA;BOLIVAR;Sin Información;Sin Informacion;1,86;1;29/06/2023;29/09/2023;3;PLAN MOTOS;Mensual;0;1.123.115,00;MOTO 125 - 250 CC ;TVS;OTRAS;2.024;NO;9.700.000,00;?;0;CARTAGENA;BOLIVAR;Particular;237.888,97;0;237.888,97;0;0;237.888,97;0;0;0;0;1;1D-A0-23-D2
70-B2-67-23;98-5D-B7-A4;80-4D-A0-7E;DB-6B-D7-5B;9B-FA-BE-0F;28;Joven;F;CASADO(A);CALI;VALLE DEL CAUCA;"COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS; REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS";1 - 1'200.000;1,25;1;7/02/2024;7/02/2026;24;PLAN MOTOS;Mensual;0;836.231,00;MOTO 0- 125 CC;YAMAHA;CRYPTON;2.025;NO;7.800.000,00;?;0;CALI;VALLE DEL CAUCA;Particular;1.007.412,20;0;1.007.412,20;0;0;1.007.412,20;1;0;0;0;0;1D-A0-23-D2
A2-ED-63-FD;F2-1F-E0-20;7F-EA-AB-C3;F9-C7-EA-DF;82-10-91-1E;34;Adulto Joven;F;SOLTERO(A);ARMENIA;QUINDIO;INFORMATICA Y ACTIVIDADES CONEXAS;1'200.001 - 3'000.000;0,29;1;23/01/2025;23/01/2026;12;PLAN AUTO GLOBAL;Anual;0;3.034.289,00;CAMPEROS Y PICK-UP;MAZDA;CX30;2.024;NO;107.800.000,00;0;?;ARMENIA;QUINDIO;Particular;891.947,96;0;891.947,96;0;0;891.947,96;0;0;0;1;0;1D-A0-23-D2
EC-74-29-67;D9-27-D1-1F;CC-8A-7D-9F;E7-69-0D-4E;AE-DF-34-09;31;Joven;M;Sin Informacion;PALMIRA;VALLE DEL CAUCA;Sin Información;Sin Informacion;1,68;1;1/09/2023;1/09/2024;12;PLAN MOTOS;Mensual;0;1.365.013,00;MOTO 125 - 250 CC ;HONDA;OTRAS;2.023;NO;14.300.000,00;?;0;PALMIRA;VALLE DEL CAUCA;Particular;1.639.965,35;0;1.639.965,35;0;0;1.639.965,35;0;0;0;0;0;1D-A0-23-D2
57-A1-FD-D4;34-D9-3C-74;0C-BC-D0-8E;2A-23-F5-BE;FD-DC-40-52;35;Adulto Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;OTRAS ACTIVIDADES EMPRESARIALES;1 - 1'200.000;0,95;1;25/05/2024;7/06/2024;0,42;PLAN AUTO GLOBAL;Mensual;1.400.000,00;4.708.542,00;AUTOMOVILES;RENAULT;SANDERO;2.014;NO;31.800.000,00;1.400.000,00;0;MEDELLIN;ANTIOQUIA;Particular;140.925,00;0;140.925,00;0;0;140.925,00;0;0;0;0;0;1D-A0-23-D2
DB-F6-84-B3;8E-A5-07-ED;AC-F3-8F-83;D3-7B-B3-B0;38-22-AA-37;55;Adulto;M;Sin Informacion;BARRANQUILLA;ATLANTICO;Sin Información;Sin Informacion;0,44;1;28/11/2024;28/11/2025;12;PLAN AUTO CLASICO;Mensual;230.000,00;2.789.203,00;AUTOMOVILES;KIA;RIO;2.022;NO;61.900.000,00;230.000,00;0;BARRANQUILLA;ATLANTICO;Particular;1.093.842,10;0;1.093.842,10;0;0;1.093.842,10;1;0;0;0;1;1D-A0-23-D2
56-06-49-A1;19-1B-BC-20;97-94-7A-2A;49-ED-D7-A3;9B-C3-98-ED;28;Joven;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;INFORMATICA Y ACTIVIDADES CONEXAS;Sin Informacion;1,38;3;1/03/2025;1/03/2025;0;PLAN AUTO CLASICO;Anual;0;4.005.977,00;CAMPEROS Y PICK-UP;KIA;OTRAS;2.023;NO;99.900.000,00;230.000,00;0;BOGOTA D.C.;BOGOTA D.C.;Particular;0;0;0;0;0;0;0;0;0;0;0;1D-A0-23-D2
71-B0-1C-FA;F8-EB-56-B1;EF-38-32-44;97-EE-61-68;98-4A-70-42;45;Adulto Joven;F;SEPARADO(A);BOGOTA D.C.;BOGOTA D.C.;HOGARES PRIVADOS CON SERVICIO DOMESTICO;MAS DE 5'000.000;0,43;1;1/12/2024;1/12/2025;12;PLAN AUTO GLOBAL;Mensual;0;4.479.928,00;CAMPEROS Y PICK-UP;CHEVROLET;CAPTIVA;2.023;NO;115.500.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.757.947,15;0;1.757.947,15;2;221.163,00;1.536.784,15;1;0;0;0;1;1D-A0-23-D2
31-FD-D8-AF;D3-68-46-93;C4-EE-AD-BB;F5-E7-78-24;31-EC-AC-C1;40;Adulto Joven;M;UNION LIBRE;ZIPAQUIRA;CUNDINAMARCA;OTRAS ACTIVIDADES EMPRESARIALES;Sin Informacion;3,34;3;18/06/2024;18/07/2024;1;PLAN MOTOS;Mensual;440.000,00;759.482,00;MOTO 125 - 250 CC ;TVS;APACHERTR2004VXCONNECT;2.022;NO;8.600.000,00;0;0;HONDA;TOLIMA;Particular;52.455,95;0;52.455,95;0;0;52.455,95;0;0;0;0;0;1D-A0-23-D2
25-27-BC-13;7A-0A-35-2E;E3-3A-4B-43;1E-C4-05-E7;1F-EC-11-2B;57;Adulto;M;SEPARADO(A);MEDELLIN;ANTIOQUIA;"COMERCIO AL POR MAYOR Y EN COMISION O POR CONTRATA, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTOTRES Y MOTOCICLETAS; MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO";1 - 1'200.000;1,19;1;28/02/2024;28/02/2026;24;PLAN MOTOS;Mensual;0;783.527,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.023;NO;11.100.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;1.099.599,39;0;1.099.599,39;0;0;1.099.599,39;0;0;0;0;0;1D-A0-23-D2
F7-58-85-ED;24-65-30-8F;3D-69-14-A3;CA-24-28-E7;A5-3D-3A-67;31;Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;ACTIVIDADES DE ESPARCIMIENTO Y ACTIVIDADES CULTURALES Y DEPORTIVAS;Sin Informacion;0,27;1;29/01/2025;29/01/2026;12;PLAN MOTOS;Trimestral;80.000,00;2.559.522,00;MOTO > 250 CC;BAJAJ;DOMINARD400;2.022;NO;16.800.000,00;80.000,00;0;BOGOTA D.C.;BOGOTA D.C.;Particular;890.180,93;0;890.180,93;0;0;890.180,93;0;0;0;0;0;1D-A0-23-D2
D3-79-C1-38;98-9C-6B-23;B7-48-89-23;67-EF-94-DD;5B-6B-30-17;70;Mayor;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;HOGARES PRIVADOS CON SERVICIO DOMESTICO;Sin Informacion;1,58;1;9/10/2023;9/10/2025;24;PLAN AUTO BASICO;Mensual;0;1.049.097,00;CAMPEROS Y PICK-UP;FORD;EXPLORER;1.999;NO;20.500.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;983.916,20;0;983.916,20;0;0;983.916,20;0;0;0;0;0;1D-A0-23-D2
7A-92-D9-B6;17-0A-A4-47;A2-4C-22-88;5D-52-C7-F3;DE-E2-2B-BD;29;Joven;F;Sin Informacion;MIRANDA;CAUCA;OTRAS ACTIVIDADES EMPRESARIALES;Sin Informacion;1,1;1;30/03/2024;30/03/2024;0;PLAN MOTOS;Mensual;0;665.299,00;MOTO 0- 125 CC;SUZUKI;OTRAS;2.025;NO;7.900.000,00;?;0;MIRANDA;CAUCA;Particular;0;0;0;0;0;0;0;0;0;0;1;1D-A0-23-D2
07-C8-EF-1C;B3-1A-9E-E8;6C-29-52-9B;B1-4F-6A-9E;FA-54-65-5B;43;Adulto Joven;F;Sin Informacion;CALI;VALLE DEL CAUCA;CONSTRUCCION;Sin Informacion;1,09;1;3/04/2024;3/04/2026;24;PLAN MOTOS;Mensual;0;600.163,00;MOTO 0- 125 CC;AKT;AK125SC;2.021;NO;5.500.000,00;0;0;CALI;VALLE DEL CAUCA;Particular;602.634,30;0;602.634,30;0;0;602.634,30;0;0;0;0;1;1D-A0-23-D2
B6-78-89-4C;74-39-4A-A1;3F-EA-C2-14;53-3B-72-1D;CD-B2-F2-61;32;Adulto Joven;M;Sin Informacion;CARTAGENA;BOLIVAR;Sin Información;Sin Informacion;3,45;3;10/08/2023;10/08/2023;0;PLAN AUTO CLASICO;Mensual;0;4.822.494,00;AUTOMOVILES;HYUNDAI;OTRAS;2.021;NO;54.300.000,00;1.710.000,00;0;CARTAGENA;BOLIVAR;Particular;-2,97;0;-2,97;0;0;-2,97;0;0;1;0;1;1D-A0-23-D2
8B-1E-CC-70;EB-91-B3-29;E0-23-E6-ED;5F-E3-5D-0B;ED-8F-29-15;21;Joven;M;SOLTERO(A);MANIZALES;CALDAS;Sin Información;Sin Informacion;0,78;1;26/07/2024;26/07/2025;12;PLAN MOTOS;Mensual;0;993.369,00;MOTO 125 - 250 CC ;TVS;OTRAS;2.024;NO;12.000.000,00;0;0;MANIZALES;CALDAS;Particular;665.435,36;0;665.435,36;0;0;665.435,36;0;0;0;0;0;1D-A0-23-D2
46-16-A3-EA;D3-B6-B1-BE;0A-ED-F5-62;32-43-80-88;3D-CC-4C-7F;46;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;CONSTRUCCION;Sin Informacion;1,71;1;23/08/2023;23/08/2025;24;PLAN MOTOS;Mensual;0;803.116,00;MOTO 125 - 250 CC ;HONDA;OTRAS;2.024;NO;10.100.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.164.766,54;0;1.164.766,54;0;0;1.164.766,54;0;0;0;0;0;1D-A0-23-D2
87-C5-37-7D;36-F3-94-BF;7F-50-49-97;58-D1-34-0A;1A-DC-C6-3E;28;Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;"ADMINISTRACION PUBLICA Y DEFENSA; SEGURIDAD SOCIAL DE AFILIACION OBLIGAT ORIA";Sin Informacion;1,2;1;27/02/2024;27/02/2026;24;PLAN MOTOS;Mensual;0;926.776,00;MOTO 125 - 250 CC ;BENELLI;OTRAS;2.022;NO;8.800.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;984.781,39;0;984.781,39;1;76.036,00;908.745,39;0;0;0;0;1;1D-A0-23-D2
EB-0A-34-40;54-B0-C3-82;17-58-FC-9C;CF-E5-60-06;86-6B-7C-03;36;Adulto Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;FINANCIACION DE PLANES DE SEGUROS Y PENSIONES, EXCEPTO LA SEGURIDAD SOCIAL DE AFILIACION OBLIGA TORIA;Sin Informacion;1,38;1;20/12/2023;20/02/2024;2;PLAN MOTOS;Mensual;0;572.692,00;MOTO 125 - 250 CC ;HERO;HUNK160R;2.023;NO;7.300.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;81.748,02;0;81.748,02;0;0;81.748,02;1;0;0;1;1;1D-A0-23-D2
77-08-0D-EF;FA-51-7B-7B;A9-C0-D3-7A;2A-27-25-58;21-B6-58-03;63;Adulto;M;Sin Informacion;CALI;VALLE DEL CAUCA;Sin Información;Sin Informacion;1,95;1;25/05/2023;25/05/2026;36;PLAN AUTO CLASICO;Mensual;0;3.085.575,00;AUTOMOVILES;FORD;FIESTA;2.017;NO;42.800.000,00;0;0;CALI;VALLE DEL CAUCA;Particular;5.317.164,50;0;5.317.164,50;0;0;5.317.164,50;1;0;0;0;0;1D-A0-23-D2
74-00-20-4A;47-84-B7-08;6A-7E-31-F6;4B-F2-52-7F;71-58-0D-D0;29;Joven;F;Sin Informacion;CALI;VALLE DEL CAUCA;INDUSTRIAS MANUFACTURERAS ELABORACION DE PRODUCTOS ALIMENTICIOS Y DE BEBIDAS;Sin Informacion;1,78;1;26/07/2023;26/08/2023;1;PLAN MOTOS;Mensual;0;629.109,00;MOTO 0- 125 CC;SUZUKI;VIVAR115STYLE;2.019;NO;7.600.000,00;0;0;CALI;VALLE DEL CAUCA;Particular;44.898,99;0;44.898,99;0;0;44.898,99;0;0;0;0;0;1D-A0-23-D2
F8-AA-01-9D;86-61-E6-43;2D-1A-46-46;46-F7-EE-70;FF-86-A9-E5;47;Adulto Joven;M;SOLTERO(A);MEDELLIN;ANTIOQUIA;"COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS; REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS";1'200.001 - 3'000.000;1,58;1;7/10/2023;7/10/2025;24;PLAN MOTOS;Mensual;0;1.600.376,00;MOTO > 250 CC;BENELLI;LEONCINO500;2.022;NO;30.200.000,00;120.000,00;0;PEREIRA;RISARALDA;Particular;2.281.993,46;0;2.281.993,46;0;0;2.281.993,46;0;0;0;0;1;1D-A0-23-D2
16-41-7B-D3;2E-CA-2B-7D;59-A5-21-5D;60-80-21-CC;D4-C5-C8-52;26;Joven;F;Sin Informacion;UBATE;CUNDINAMARCA;"COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS; REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS";Sin Informacion;1,13;3;2/05/2024;2/10/2024;5;PLAN AUTO CLASICO;Mensual;230.000,00;4.087.896,00;AUTOMOVILES;RENAULT;LOGAN;2.020;NO;47.500.000,00;230.000,00;0;UBATE;CUNDINAMARCA;Particular;1.439.963,13;0;1.439.963,13;0;0;1.439.963,13;0;0;0;0;1;1D-A0-23-D2
62-11-79-7B;3E-E9-4C-9C;9B-B3-EC-60;FA-3D-44-B8;61-41-6A-09;37;Adulto Joven;M;SOLTERO(A);MEDELLIN;ANTIOQUIA;EDUCACION;1'200.001 - 3'000.000;1,62;2;26/09/2023;26/09/2024;12;PLAN MOTOS;Mensual;0;1.222.913,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.024;NO;14.400.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;1.161.067,12;0;1.161.067,12;0;0;1.161.067,12;0;0;0;0;0;1D-A0-23-D2
DB-AB-34-F5;F2-FF-70-49;59-EF-CB-FA;F6-37-FF-36;40-34-D1-E0;42;Adulto Joven;M;UNION LIBRE;ARMENIA;QUINDIO;Sin Información;Sin Informacion;1,34;1;5/01/2024;5/04/2024;3;PLAN MOTOS;Mensual;0;972.769,00;MOTO 125 - 250 CC ;AKT;AK200DSEIII;2.023;NO;7.600.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;201.564,03;0;201.564,03;0;0;201.564,03;0;0;0;0;1;1D-A0-23-D2
76-52-F9-C6;44-51-A8-C7;00-9C-A4-ED;D4-00-B4-E6;A7-EA-74-91;31;Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,94;1;30/05/2023;30/05/2023;0;Plan Seguro Muévete Libre;Mensual;0;653.860,00;BICI;OTRAS MARCAS;OTRAS;2.023;NO;10.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;-9.504,06;0;-9.504,06;1;23.895,00;-33.399,06;0;0;0;0;1;1D-A0-23-D2
36-6C-76-88;94-B3-CD-7F;75-AA-FC-3E;2A-59-02-F1;2C-20-89-DB;28;Joven;M;SOLTERO(A);BARRANQUILLA;ATLANTICO;Sin Información;3'000.001 - 5'000.000;1,68;1;1/09/2023;30/10/2023;1,94;PLAN AUTO CLASICO;Mensual;230.000,00;1.682.711,00;AUTOMOVILES;NISSAN;VERSA;2.021;NO;72.700.000,00;230.000,00;0;BARRANQUILLA;ATLANTICO;Particular;544.239,02;-416.740,00;960.979,02;3;451.443,00;509.536,02;0;0;0;0;0;1D-A0-23-D2
27-4E-1A-47;FE-D9-2A-B5;BE-A2-AE-F2;CB-77-1A-6B;75-75-9A-E2;32;Adulto Joven;F;SOLTERO(A);MEDELLIN;ANTIOQUIA;HOTELES Y RESTAURANTES HOTELES, RESTAURANTES, BARES Y SIMILARES;Sin Informacion;0,9;1;15/06/2024;15/12/2024;6;PLAN MOTOS;Mensual;0;1.581.167,00;MOTO 0- 125 CC;HONDA;OTRAS;2.025;NO;7.400.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;666.175,29;0;666.175,29;0;0;666.175,29;0;0;0;0;1;1D-A0-23-D2
69-BB-B6-FB;1E-59-22-BB;38-69-F2-00;AF-ED-61-F3;F1-18-D6-D0;25;Joven;M;Sin Informacion;VILLA DE LEYVA;BOYACA;Sin Información;Sin Informacion;1,03;1;27/04/2024;27/08/2024;4;PLAN MOTOS;Mensual;0;872.453,00;MOTO 125 - 250 CC ;YAMAHA;FZN150AFZ15A;2.025;NO;10.600.000,00;?;0;VILLA DE LEYVA;BOYACA;Particular;245.054,11;0;245.054,11;0;0;245.054,11;0;0;0;0;0;1D-A0-23-D2
6D-19-B1-06;7A-D2-CA-F0;C1-0C-7F-DE;80-AA-31-A1;B9-3C-DA-05;38;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,25;1;7/02/2024;7/10/2024;8;PLAN MOTOS;Mensual;0;1.649.642,00;MOTO 125 - 250 CC ;KTM;OTRAS;2.023;NO;14.300.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;919.104,22;0;919.104,22;0;0;919.104,22;0;0;0;0;0;1D-A0-23-D2
25-89-CE-56;F5-28-46-41;81-FB-49-6C;EB-E7-45-39;F1-A4-CD-9D;41;Adulto Joven;M;Sin Informacion;DOSQUEBRADAS;RISARALDA;Sin Información;Sin Informacion;0,12;1;25/03/2025;25/03/2026;12;PLAN AUTO CLASICO;Mensual;0;3.533.305,00;AUTOMOVILES;KIA;PICANTO;2.017;NO;31.100.000,00;792.000,00;0;DOSQUEBRADAS;RISARALDA;Particular;395.736,05;0;395.736,05;0;0;395.736,05;0;0;0;0;0;1D-A0-23-D2
33-DE-11-76;FE-C2-5C-7B;EA-BF-69-12;67-07-9E-33;CC-4B-B3-E4;20;Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;0,78;1;25/07/2024;25/07/2024;0;PLAN AUTO CLASICO;Mensual;0;3.628.926,00;AUTOMOVILES;MAZDA;3;2.017;NO;73.600.000,00;230.000,00;0;SABANETA;ANTIOQUIA;Particular;-7.426,00;0;-7.426,00;2;261.621,00;-269.047,00;0;0;0;1;0;1D-A0-23-D2
D8-14-99-51;DD-2F-C5-0E;B7-58-FD-A7;97-4D-AD-C6;2E-45-F8-0E;43;Adulto Joven;F;SOLTERO(A);IBAGUE;TOLIMA;EDUCACION;Sin Informacion;0,29;1;24/01/2025;24/01/2025;0;PLAN AUTO CLASICO;Anual;0;1.211.134,00;AUTOMOVILES;RENAULT;OTRAS;2.022;NO;36.200.000,00;?;0;IBAGUE;TOLIMA;Particular;-1,05;0;-1,05;0;0;-1,05;0;0;0;0;0;1D-A0-23-D2
35-A1-FD-02;F4-E4-07-DA;96-9E-92-08;D8-E9-3E-BF;7E-85-43-4F;36;Adulto Joven;M;Sin Informacion;BARRANQUILLA;ATLANTICO;EDUCACION;3'000.001 - 5'000.000;1,17;1;5/03/2024;5/06/2024;3;PLAN MOTOS;Trimestral;0;713.664,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.025;NO;10.600.000,00;?;0;BARRANQUILLA;ATLANTICO;Particular;151.163,01;0;151.163,01;0;0;151.163,01;1;0;0;0;0;1D-A0-23-D2
76-6C-72-05;22-08-8A-95;44-94-40-CE;D9-B7-E0-C7;AD-3E-C7-80;57;Adulto;M;Sin Informacion;MANIZALES;CALDAS;Sin Información;1 - 1'200.000;0,95;1;27/05/2024;26/11/2024;5,97;PLAN MOTOS;Mensual;0;288.439,00;MOTO 125 - 250 CC ;YAMAHA;FZ;2.016;NO;5.900.000,00;0;0;MANIZALES;CALDAS;Particular;121.521,08;0;121.521,08;0;0;121.521,08;0;0;0;0;1;1D-A0-23-D2
00-AB-5D-04;56-28-E9-3D;BC-00-AE-AB;AA-56-F5-AA;86-A9-1F-BF;42;Adulto Joven;M;SOLTERO(A);MONTERIA;CORDOBA;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;1 - 1'200.000;1,48;2;13/11/2023;13/11/2023;0;PLAN AUTO GLOBAL;Semestral;0;4.715.261,00;CAMPEROS Y PICK-UP;SEAT;OTRAS;2.020;NO;70.400.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1;0;1;0;0;1;0;0;0;0;0;1D-A0-23-D2
33-F9-69-80;0E-F2-A6-2D;D1-8A-6B-BA;89-7A-28-6C;FC-82-C3-F4;48;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;0,03;1;25/04/2025;25/04/2026;12;PLAN MOTOS;Mensual;0;1.869.909,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.026;NO;14.000.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;0;0;0;0;0;0;0;0;0;0;1;1D-A0-23-D2
8F-7E-94-34;67-B5-44-48;EC-66-EB-FF;05-7D-67-E0;28-05-68-77;31;Joven;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,3;1;18/01/2024;18/01/2026;24;PLAN MOTOS;Mensual;0;896.069,00;MOTO 125 - 250 CC ;SUZUKI;GIXXERFIABS;2.024;NO;11.200.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.116.699,38;0;1.116.699,38;2;195.635,00;921.064,38;1;0;0;0;0;1D-A0-23-D2
4B-C7-39-DD;B4-03-DB-D6;FE-8A-F7-5B;F4-27-02-7A;6E-7D-A1-E1;40;Adulto Joven;F;Sin Informacion;CALI;VALLE DEL CAUCA;OTRAS ACTIVIDADES EMPRESARIALES;1 - 1'200.000;1,8;1;18/07/2023;18/07/2025;24;PLAN MOTOS;Mensual;0;232.614,00;MOTO 0- 125 CC;SUZUKI;OTRAS;2.022;NO;6.800.000,00;0;0;PALMIRA;VALLE DEL CAUCA;Particular;501.894,18;0;501.894,18;0;0;501.894,18;0;0;0;0;0;1D-A0-23-D2
6F-18-40-97;CA-0C-B9-C0;E3-9B-84-AD;24-F8-85-DE;40-79-EB-E2;29;Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;ACTIVIDADES AUXILIARES DE LA INTERMEDIACION FINANCIERA;Sin Informacion;1,58;1;10/10/2023;14/04/2024;6,13;PLAN AUTO GLOBAL;Mensual;2.800.000,00;5.753.579,00;AUTOMOVILES;CHEVROLET;SAIL;2.017;NO;36.000.000,00;2.800.000,00;0;MEDELLIN;ANTIOQUIA;Particular;4.834.940,29;-59.539.604,00;64.374.544,29;16;1.525.101,00;62.849.443,29;0;0;0;0;0;1D-A0-23-D2
